state,county,tract,geoid,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
12,1,1811,12001001811,0.93,0.9540000000000001,0.674,0.11,0.122,11.17,70645.0,6975.0,2869.0,93.0,95.4,11.0,12.2,70645.0,67.4,2869.0,2737.0,2668.0,6975.0,765.0,6975.0,851.0,4731.0,3187.0,2737,2668,2737,0,2668,69,132,6956,1359,1359,0,1359,0,0,12
12,1,1813,12001001813,0.946,0.965,0.612,0.08199999999999999,0.084,11.48,96638.0,3826.0,1382.0,94.6,96.5,8.2,8.4,96638.0,61.2,1382.0,1334.0,1308.0,3826.0,314.0,3826.0,320.0,2660.0,1629.0,1334,1308,1334,0,1308,26,48,3826,1033,1033,0,1024,9,0,12
12,1,1814,12001001814,0.9329999999999999,0.976,0.604,0.299,0.059000000000000004,11.32,82574.0,2650.0,905.0,93.3,97.6,29.9,5.9,82574.0,60.4,905.0,883.0,844.0,2650.0,793.0,2650.0,157.0,1754.0,1059.0,883,844,883,0,832,51,22,2650,691,675,0,596,79,16,12
12,1,1902,12001001902,0.687,0.809,0.052000000000000005,0.496,0.05,10.04,23036.0,3259.0,1193.0,68.7,80.9,49.6,5.0,23036.0,5.2,1193.0,965.0,820.0,3259.0,1615.0,3259.0,164.0,2552.0,133.0,965,820,965,0,802,163,228,2128,265,225,0,225,0,40,12
12,1,1907,12001001907,0.7909999999999999,0.893,0.258,0.096,0.055999999999999994,10.82,50204.0,2779.0,1044.0,79.1,89.3,9.6,5.6,50204.0,25.8,1044.0,932.0,826.0,2779.0,268.0,2779.0,155.0,1978.0,511.0,932,826,932,7,826,99,112,2779,552,519,0,422,97,33,12
12,1,1908,12001001908,0.828,0.902,0.2,0.254,0.008,10.71,44913.0,4922.0,1821.0,82.8,90.2,25.4,0.8,44913.0,20.0,1821.0,1642.0,1507.0,4922.0,1251.0,4922.0,41.0,3275.0,655.0,1642,1507,1642,55,1507,80,179,4922,1065,1042,65,923,54,23,12
12,1,2000,12001002000,0.58,0.711,0.156,0.281,0.021,10.74,46098.0,6210.0,2307.0,58.0,71.1,28.1,2.1,46098.0,15.6,2307.0,1640.0,1338.0,6210.0,1744.0,6210.0,128.0,4415.0,688.0,1640,1338,1640,55,1338,247,667,6210,1225,869,12,769,88,356,12
12,1,2101,12001002101,0.705,0.9209999999999999,0.301,0.23399999999999999,0.037000000000000005,11.06,63583.0,2152.0,809.0,70.5,92.1,23.4,3.7,63583.0,30.1,809.0,745.0,570.0,2152.0,504.0,2152.0,79.0,1607.0,483.0,745,570,745,14,570,161,64,2152,416,409,0,344,65,7,12
12,1,2102,12001002102,0.684,0.813,0.409,0.115,0.028999999999999998,10.41,33208.0,792.0,395.0,68.4,81.3,11.5,2.9,33208.0,40.9,395.0,321.0,270.0,792.0,91.0,792.0,23.0,596.0,244.0,321,270,321,4,267,50,74,792,110,110,4,106,0,0,12
12,1,2201,12001002201,0.9,0.948,0.35100000000000003,0.18,0.052000000000000005,11.09,65466.0,5717.0,1987.0,90.0,94.8,18.0,5.2,65466.0,35.1,1987.0,1884.0,1789.0,5717.0,1027.0,5717.0,295.0,3812.0,1339.0,1884,1789,1884,29,1775,80,103,5717,1686,1548,0,1521,27,138,12
