tract,max_dn,max_up,dn10,dn100,dn250,fiber_100u,state
12091021400,836.9148936170212,30.09574468085107,1.1489361702127658,1.0638297872340423,1.0638297872340423,0.0,12
12091021501,986.5753424657536,34.541095890410965,2.0821917808219177,1.0,1.0,0.0,12
12091021502,970.3030303030304,43.13636363636363,1.9696969696969695,0.9797979797979798,0.9797979797979798,0.010101010101010102,12
12091021600,1000.0,66.12903225806451,1.870967741935484,1.064516129032258,1.064516129032258,0.03225806451612903,12
12091021700,985.7571428571428,34.50714285714286,1.4285714285714286,0.9857142857142858,0.9857142857142858,0.0,12
12091021801,976.2619047619047,55.72619047619048,1.6428571428571428,1.0,1.0,0.023809523809523808,12
12091021802,958.2089552238806,48.1044776119403,1.8358208955223883,1.044776119402985,0.9701492537313432,0.01492537313432836,12
12091021900,973.7162162162165,34.307432432432435,1.7027027027027026,1.0135135135135136,1.0,0.0,12
12091022001,893.6111111111112,56.63888888888889,2.0277777777777777,0.9444444444444444,0.9166666666666666,0.027777777777777776,12
12091022002,909.4444444444445,31.92162962962963,1.9074074074074077,0.9074074074074074,0.9074074074074074,0.0,12
12091022100,1000.0,52.07547169811321,2.0,1.0377358490566038,1.0377358490566038,0.018867924528301886,12
12091022300,981.6666666666665,51.125,1.9074074074074077,1.0,1.0,0.018518518518518517,12
12091022400,966.2261904761904,44.70833333333334,2.1666666666666665,1.0238095238095235,0.988095238095238,0.011904761904761904,12
12091022500,976.7058823529413,34.2,1.5647058823529412,0.9882352941176472,0.976470588235294,0.0,12
12091022600,988.4117647058824,67.30294117647057,2.1882352941176477,1.0470588235294118,1.0235294117647058,0.035294117647058816,12
12091022700,978.3260869565216,73.92391304347827,1.5434782608695652,1.0434782608695652,1.0434782608695652,0.043478260869565216,12
12091022800,1000.0,58.81578947368421,1.3157894736842106,1.0263157894736843,1.0263157894736843,0.02631578947368421,12
12091022900,1000.0,74.72222222222223,2.0416666666666665,1.1944444444444444,1.0555555555555556,0.05555555555555555,12
12091023100,965.813953488372,34.00602325581395,1.9186046511627908,1.0,0.9767441860465116,0.0,12
12091023200,796.1176470588235,32.18435294117646,1.7352941176470589,0.8529411764705882,0.7941176470588235,0.0,12
12091023303,1000.0,46.66666666666666,2.333333333333333,1.6,1.2,0.0,12
12091023304,988.328125,203.625,1.9375,1.078125,0.953125,0.0625,12
12091023305,950.075,104.65,1.85,1.225,1.1,0.075,12
12091023306,1000.0,36.53061224489796,1.7346938775510203,1.1428571428571428,1.1020408163265305,0.0,12
12091023307,1000.0,41.66666666666666,2.3666666666666667,1.3666666666666667,1.3,0.0,12
12091023308,962.5,70.26923076923077,2.0,1.1923076923076923,1.0961538461538465,0.038461538461538464,12
12093910101,184.4217391304348,61.82608695652174,1.626086956521739,0.14782608695652175,0.14782608695652175,0.013043478260869565,12
12093910102,55.823170731707314,55.57926829268293,1.1920731707317074,0.009146341463414634,0.006097560975609756,0.009146341463414634,12
12093910201,737.1333333333333,56.5925925925926,2.4592592592592597,0.7407407407407407,0.7407407407407407,0.007407407407407408,12
12093910202,798.077922077922,67.33766233766234,2.331168831168831,0.8116883116883117,0.8116883116883117,0.01948051948051948,12
12093910300,745.258064516129,61.806451612903224,2.3096774193548386,0.7548387096774194,0.7548387096774194,0.012903225806451613,12
12093910401,501.1481481481482,63.185185185185176,2.074074074074074,0.4962962962962963,0.4962962962962963,0.014814814814814815,12
12093910402,591.3777777777777,50.0,2.188888888888889,0.5777777777777777,0.5777777777777777,0.0,12
12093910403,553.763440860215,59.56989247311828,1.9462365591397848,0.5483870967741935,0.5483870967741935,0.010752688172043013,12
